iter	Passed	Remaining
410	3910	5604
411	3919	5594
412	3929	5584
413	3938	5574
414	3947	5564
415	3956	5553
416	3964	5542
417	3973	5532
418	3981	5521
419	3990	5510
420	3998	5499
421	4007	5489
422	4016	5478
423	4024	5467
424	4033	5457
425	4042	5446
426	4050	5435
427	4059	5425
428	4067	5414
429	4077	5404
430	4085	5394
431	4094	5383
432	4104	5374
433	4113	5364
434	4123	5355
435	4131	5344
436	4141	5335
437	4150	5325
438	4159	5315
439	4168	5305
440	4178	5296
441	4188	5287
442	4197	5277
443	4208	5270
444	4222	5266
445	4231	5256
446	4241	5247
447	4252	5239
448	4261	5229
449	4269	5218
450	4278	5208
451	4288	5198
452	4296	5188
453	4305	5178
454	4314	5167
455	4324	5159
456	4334	5149
457	4343	5139
458	4352	5130
459	4361	5119
460	4370	5110
461	4380	5101
462	4391	5092
463	4400	5083
464	4409	5073
465	4419	5064
466	4428	5054
467	4438	5045
468	4447	5034
469	4456	5025
470	4466	5016
471	4475	5006
472	4484	4996
473	4493	4986
474	4503	4977
475	4512	4967
476	4521	4957
477	4531	4949
478	4541	4939
479	4551	4931
480	4559	4920
481	4569	4910
482	4577	4900
483	4588	4891
484	4598	4882
485	4607	4873
486	4617	4863
487	4627	4855
488	4638	4847
489	4649	4839
490	4660	4830
491	4670	4822
492	4680	4813
493	4691	4805
494	4701	4796
495	4710	4786
496	4720	4777
497	4729	4767
498	4738	4757
499	4749	4749
500	4760	4741
501	4771	4733
502	4781	4724
503	4792	4716
504	4802	4707
505	4812	4698
506	4820	4687
507	4829	4677
508	4838	4667
509	4847	4657
510	4855	4646
511	4864	4636
512	4874	4627
513	4883	4617
514	4893	4608
515	4901	4597
516	4910	4587
517	4919	4577
518	4928	4567
519	4936	4556
520	4946	4547
521	4955	4537
522	4965	4528
523	4974	4519
524	4984	4509
525	4994	4501
526	5004	4491
527	5016	4484
528	5025	4474
529	5034	4464
530	5043	4454
531	5052	4444
532	5062	4435
533	5071	4425
534	5081	4416
535	5091	4407
536	5099	4396
537	5110	4388
538	5119	4378
539	5129	4369
540	5140	4361
541	5150	4352
542	5161	4343
543	5169	4333
544	5178	4323
545	5187	4313
546	5195	4302
547	5203	4292
548	5212	4281
549	5220	4271
550	5228	4260
551	5237	4250
552	5246	4240
553	5254	4230
554	5262	4219
555	5270	4208
556	5279	4198
557	5287	4188
558	5296	4178
559	5305	4168
560	5313	4157
561	5321	4147
562	5330	4137
563	5339	4127
564	5347	4117
565	5356	4107
566	5365	4097
567	5374	4087
568	5382	4077
569	5391	4067
570	5400	4057
571	5409	4047
572	5419	4038
573	5430	4029
574	5439	4020
575	5448	4010
576	5459	4002
577	5469	3993
578	5479	3983
579	5491	3976
580	5502	3968
581	5512	3959
582	5522	3949
583	5531	3940
584	5541	3931
585	5550	3921
586	5559	3911
587	5570	3903
588	5580	3893
589	5589	3884
590	5598	3874
591	5607	3864
592	5615	3853
593	5624	3844
594	5633	3834
595	5642	3824
596	5652	3815
597	5662	3806
598	5671	3796
599	5681	3787
600	5689	3777
601	5698	3767
602	5706	3756
603	5715	3747
604	5723	3736
605	5733	3728
606	5742	3717
607	5751	3708
608	5760	3698
609	5768	3688
610	5778	3678
611	5786	3668
612	5796	3659
613	5805	3649
614	5814	3639
615	5824	3630
616	5834	3621
617	5846	3613
618	5856	3604
619	5870	3597
620	5882	3589
621	5892	3581
622	5901	3571
623	5911	3562
624	5920	3552
625	5929	3542
626	5939	3533
627	5949	3524
628	5964	3518
629	5977	3510
630	5987	3501
631	5997	3492
632	6006	3482
633	6017	3473
634	6027	3464
635	6037	3455
636	6047	3446
637	6057	3436
638	6066	3427
639	6076	3418
640	6086	3408
641	6096	3399
642	6108	3391
643	6117	3381
644	6129	3373
645	6141	3365
646	6152	3356
647	6164	3348
648	6175	3339
649	6184	3329
650	6194	3321
651	6206	3312
652	6216	3303
653	6228	3295
654	6239	3286
655	6249	3277
656	6262	3269
657	6273	3260
658	6283	3251
659	6294	3242
660	6304	3233
661	6314	3223
662	6324	3214
663	6334	3205
664	6344	3195
665	6390	3204
666	6412	3201
667	6425	3193
668	6438	3185
669	6448	3176
670	6458	3166
671	6467	3156
672	6478	3147
673	6488	3138
674	6498	3129
675	6508	3119
676	6517	3109
677	6528	3100
678	6537	3090
679	6547	3080
680	6557	3071
681	6567	3062
682	6578	3053
683	6589	3044
684	6598	3034
685	6607	3024
686	6617	3014
687	6626	3005
688	6637	2996
689	6646	2986
690	6658	2977
691	6667	2967
692	6678	2958
693	6689	2949
694	6700	2940
695	6710	2930
696	6720	2921
697	6728	2911
698	6739	2902
699	6748	2892
700	6759	2883
701	6769	2873
702	6779	2864
703	6789	2854
704	6798	2844
705	6807	2834
706	6816	2825
707	6826	2815
708	6835	2805
709	6844	2795
710	6854	2786
711	6864	2776
712	6873	2766
713	6883	2757
714	6892	2747
715	6904	2738
716	6918	2730
717	6928	2721
718	6942	2713
719	6955	2704
720	6966	2695
721	6975	2685
722	6985	2676
723	6994	2666
724	7005	2657
725	7016	2647
726	7025	2638
727	7036	2629
728	7047	2619
729	7057	2610
730	7066	2600
731	7076	2590
732	7087	2581
733	7097	2572
734	7108	2562
735	7118	2553
736	7127	2543
737	7136	2533
738	7146	2523
739	7155	2514
740	7165	2504
741	7174	2494
742	7186	2485
743	7195	2475
744	7205	2466
745	7215	2456
746	7224	2446
747	7233	2437
748	7243	2427
749	7252	2417
750	7261	2407
751	7270	2397
752	7279	2387
753	7288	2377
754	7297	2368
755	7306	2358
756	7315	2348
757	7324	2338
758	7332	2328
759	7341	2318
760	7349	2308
761	7359	2298
762	7367	2288
763	7376	2278
764	7384	2268
